ID,Total Tasks,Task Completion Rate,Error Rate,Attendance,Productivity Score
1,90,30,80,60,64
2,50,50,40,80,54
3,90,30,40,40,52
4,60,90,80,90,79
5,70,40,30,80,55
6,80,80,20,30,58
7,50,50,70,50,54
8,20,80,60,40,50
9,60,90,30,40,59
10,60,80,60,30,60
11,80,60,20,70,60
12,40,70,40,50,51
13,50,50,70,70,58
14,20,80,90,40,56
15,60,40,50,70,54
16,80,10,20,80,47
17,60,80,60,90,72
18,20,70,30,80,49
19,70,10,10,30,32
20,80,60,30,20,52
21,20,80,70,40,52
22,20,70,30,20,37
23,10,80,10,10,31
24,20,80,40,80,54
25,80,80,70,50,72
26,20,90,50,10,45
27,50,20,90,20,43
28,10,90,80,50,56
29,40,10,10,90,35
30,60,70,20,80,59
31,50,80,60,50,61
32,10,40,90,40,41
33,60,40,40,80,54
34,30,30,10,50,30
35,20,10,10,10,13
36,10,50,30,50,34
37,60,80,80,40,66
38,90,60,70,70,73
39,80,40,10,80,54
40,30,30,50,20,32
41,40,60,20,20,38
42,70,40,40,10,43
43,70,30,90,50,58
44,80,90,70,40,73
45,10,50,20,80,38
46,70,60,40,10,49
47,30,50,60,10,38
48,60,70,60,30,57
49,10,40,50,50,35
50,50,30,70,70,52
51,10,90,20,60,46
52,60,90,20,40,57
53,20,50,50,10,33
54,10,10,90,10,26
55,70,60,80,70,69
56,50,40,90,80,61
57,30,70,40,30,44
58,10,90,10,80,48
59,80,50,90,70,71
60,30,70,10,10,34
61,90,80,70,50,75
62,20,10,90,30,33
63,70,40,10,30,41
64,50,50,60,20,46
65,70,80,70,90,77
66,10,10,10,80,24
67,10,90,30,40,44
68,70,30,50,30,46
69,60,40,60,40,50
70,30,10,20,30,22
71,70,50,80,10,54
72,90,40,20,50,53
73,80,60,60,30,60
74,40,10,50,40,33
75,90,20,80,90,67
76,40,90,30,90,63
77,50,90,60,30,60
78,50,20,60,70,47
79,20,60,30,90,48
80,30,70,70,10,46
81,60,60,70,90,68
82,70,90,50,80,74
83,70,50,80,30,58
84,20,50,70,70,49
85,10,80,50,70,51
86,10,50,50,50,38
87,70,20,80,10,45
88,60,60,30,40,50
89,80,20,80,20,50
90,70,30,90,20,52
91,50,90,10,20,48
92,60,30,20,70,45
93,30,20,60,10,29
94,10,70,50,40,42
95,70,80,30,10,53
96,90,10,40,90,56
97,10,50,80,20,38
98,20,90,80,40,57
99,40,70,30,60,51
100,40,90,70,50,63
101,70,20,50,70,51
102,30,30,40,60,38
103,70,30,10,40,40
104,80,90,90,90,87
105,70,50,70,30,56
106,20,30,20,30,25
107,60,40,50,30,46
108,80,70,90,40,71
109,60,10,60,80,49
110,70,90,40,40,64
111,10,50,90,20,40
112,40,10,10,40,25
113,90,70,70,20,66
114,90,70,40,70,70
115,70,10,10,40,34
116,40,90,50,70,63
117,10,20,40,90,35
118,80,10,10,70,43
119,30,20,80,30,37
120,60,20,90,50,52
121,70,50,50,60,58
122,90,30,40,90,62
123,30,50,90,50,52
124,40,70,80,10,51
125,40,90,20,90,61
126,70,40,20,10,39
127,70,60,80,60,67
128,60,20,20,50,38
129,80,60,60,10,56
130,90,40,50,90,67
131,30,40,30,50,37
132,50,90,90,70,74
133,60,60,50,50,56
134,80,40,70,60,62
135,80,80,40,70,70
136,90,10,20,60,46
137,20,70,80,20,47
138,90,30,70,40,58
139,70,70,80,40,66
140,80,30,10,90,53
141,30,10,40,40,28
142,90,70,70,40,70
143,40,90,10,10,43
144,40,30,50,50,41
145,90,30,80,60,64
146,60,40,20,50,44
147,40,40,70,30,44
148,30,30,50,50,38
149,90,20,70,60,59
150,70,80,50,10,57
151,80,50,50,20,53
152,20,60,80,10,42
153,50,60,80,20,53
154,90,40,10,20,45
155,70,20,50,80,53
156,30,10,60,10,26
157,70,30,90,40,56
158,40,60,40,20,42
159,50,30,60,20,40
160,50,10,30,10,26
161,50,70,20,80,56
162,90,60,90,30,69
163,50,30,80,80,56
164,20,50,50,90,49
165,20,10,60,50,31
166,80,50,80,90,73
167,50,20,60,70,47
168,80,40,50,70,60
169,70,70,10,50,54
170,90,10,50,50,50
171,40,10,90,30,39
172,20,10,70,80,39
173,50,20,80,50,47
174,60,10,30,20,31
175,20,50,70,40,43
176,30,80,30,90,57
177,60,50,40,60,53
178,70,30,80,60,58
179,50,90,20,70,60
180,30,30,10,50,30
181,50,70,90,50,64
182,50,20,10,10,25
183,10,50,30,20,28
184,10,50,10,50,30
185,30,10,90,60,42
186,90,70,50,30,64
187,60,20,30,10,32
188,90,60,60,70,71
189,30,10,60,50,34
190,70,20,40,10,37
191,70,60,10,60,53
192,30,50,20,50,38
193,10,50,10,20,24
194,30,60,30,80,49
195,50,10,50,50,38
196,30,60,30,90,51
197,80,90,70,30,71
198,70,60,40,60,59
199,50,50,30,90,54
200,90,60,40,20,57
201,20,70,10,90,47
202,50,20,70,90,53
203,40,60,90,10,50
204,80,30,50,90,61
205,60,20,80,30,46
206,10,70,60,40,44
207,40,90,10,30,47
208,90,50,50,80,68
209,30,10,50,50,32
210,30,50,40,50,42
211,40,90,80,30,61
212,30,60,10,10,31
213,20,70,70,60,53
214,90,70,20,90,70
215,20,20,60,20,28
216,90,20,40,20,45
217,10,80,20,20,35
218,70,90,20,80,68
219,40,40,50,80,50
220,60,80,10,60,56
221,70,70,10,30,50
222,90,70,90,40,74
223,80,90,70,10,67
224,80,90,40,20,63
225,30,10,30,40,26
226,60,10,60,70,47
227,70,10,20,30,34
228,40,80,40,20,48
229,90,60,10,20,51
230,70,90,60,30,66
231,40,80,60,80,64
232,90,70,20,50,62
233,20,80,60,70,56
234,70,40,70,50,57
235,20,30,30,20,25
236,60,70,50,60,61
237,20,70,50,90,55
238,40,80,40,70,58
239,70,40,60,50,55
240,60,70,50,80,65
241,30,50,10,10,28
242,90,90,20,80,74
243,80,20,40,90,56
244,60,50,50,80,59
245,20,90,80,20,53
246,40,10,70,40,37
247,10,90,40,60,50
248,30,50,10,40,34
249,20,80,30,20,40
250,60,70,10,40,49
251,60,10,70,50,45
252,50,10,10,10,22
253,40,80,40,20,48
254,90,60,20,10,51
255,80,20,90,90,66
256,60,30,90,40,53
257,10,10,60,20,22
258,70,50,90,50,64
259,10,70,30,10,32
260,30,70,60,90,60
261,20,20,50,40,30
262,20,20,30,10,20
263,40,80,70,70,64
264,20,80,30,20,40
265,40,80,10,60,50
266,20,30,20,60,31
267,20,70,80,40,51
268,30,70,10,50,42
269,90,60,90,50,73
270,20,20,90,60,42
271,90,60,90,50,73
272,60,70,30,40,53
273,10,50,30,60,36
274,70,80,10,60,59
275,90,40,80,40,63
276,80,10,60,40,47
277,30,70,50,80,56
278,70,30,80,80,62
279,10,40,40,90,41
280,80,40,70,30,56
281,40,20,50,50,38
282,30,80,30,60,51
283,90,50,40,30,56
284,40,90,10,80,57
285,40,20,60,10,32
286,10,50,70,80,48
287,30,80,90,30,57
288,30,20,40,90,41
289,10,80,50,90,55
290,80,20,10,30,38
291,80,20,40,10,40
292,30,10,10,50,24
293,60,60,60,80,64
294,20,70,80,40,51
295,60,30,70,50,51
296,30,30,30,10,26
297,80,70,10,20,51
298,20,50,40,20,33
299,60,20,20,80,44
300,60,20,60,90,54
301,20,70,40,40,43
302,60,80,80,10,60
303,80,60,70,30,62
304,30,50,80,50,50
305,60,70,60,70,65
306,80,20,30,80,52
307,50,50,10,40,40
308,90,60,70,30,65
309,10,80,40,90,53
310,70,90,90,50,76
311,20,30,70,90,47
312,50,60,80,80,65
313,40,30,20,20,29
314,50,50,10,70,46
315,60,20,90,30,48
316,10,10,60,10,20
317,90,30,80,40,60
318,60,40,70,40,52
319,80,60,80,40,66
320,10,20,70,10,25
321,60,10,20,90,43
322,40,60,80,40,54
323,60,80,90,80,76
324,70,70,40,90,68
325,50,70,40,20,48
326,10,60,40,20,33
327,10,20,20,20,17
328,40,20,70,80,48
329,50,80,50,40,57
330,20,50,60,90,51
331,50,80,10,90,59
332,80,20,60,70,56
333,50,60,80,80,65
334,20,90,10,80,51
335,50,20,60,30,39
336,70,40,10,40,43
337,10,30,60,40,32
338,70,30,40,50,48
339,60,20,50,40,42
340,60,90,30,20,55
341,70,90,30,70,68
342,50,50,90,20,52
343,50,80,10,10,43
344,30,20,40,60,35
345,50,20,10,30,29
346,20,10,40,30,23
347,50,10,30,60,36
348,50,10,50,50,38
349,20,60,30,80,46
350,40,10,10,10,19
351,70,50,10,30,44
352,10,60,20,10,27
353,80,10,40,90,53
354,40,70,20,70,51
355,30,20,70,60,41
356,60,30,80,60,55
357,90,90,80,60,82
358,20,80,70,50,54
359,10,70,10,90,44
360,40,90,20,30,49
361,50,70,50,70,60
362,10,40,20,90,37
363,50,10,70,70,46
364,50,90,20,90,64
365,20,30,20,80,35
366,90,30,50,50,56
367,10,10,20,30,16
368,80,40,90,30,60
369,20,30,20,60,31
370,70,60,60,50,61
371,50,90,70,60,68
372,20,30,50,10,27
373,80,20,50,80,56
374,70,70,10,70,58
375,10,70,30,90,48
376,20,50,30,70,41
377,90,50,90,60,72
378,50,80,30,10,47
379,80,70,60,60,69
380,50,30,80,50,50
381,20,50,90,40,47
382,80,30,20,10,39
383,20,70,80,60,55
384,10,20,40,60,29
385,80,80,60,50,70
386,80,70,20,80,65
387,70,40,70,70,61
388,30,70,70,80,60
389,60,20,60,50,46
390,50,80,30,70,59
391,70,80,90,40,71
392,90,20,70,80,63
393,60,30,40,70,49
394,20,80,80,30,52
395,90,30,60,90,66
396,80,60,30,50,58
397,60,10,30,90,45
398,20,80,50,40,48
399,60,30,20,10,33
400,90,20,40,30,47
401,80,10,70,80,57
402,10,70,40,90,50
403,60,90,40,20,57
404,50,90,70,80,72
405,40,70,50,10,45
406,30,20,50,80,41
407,90,70,30,50,64
408,50,50,30,80,52
409,40,50,70,80,57
410,50,70,20,10,42
411,10,20,80,60,37
412,20,50,30,40,35
413,50,70,90,20,58
414,20,20,60,80,40
415,40,30,70,50,45
416,10,50,70,60,44
417,60,10,20,30,31
418,30,10,90,80,46
